,teams,team 1 pts,team 2 pts,date,location,venue,weather
0,"<title>September 10, 2009 - Tennessee Titans at Pittsburgh Steelers Game Statistics</title>",10,13,"Date: September 10, 2009 Location: Pittsburgh, PA","Date: September 10, 2009 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 65110,Weather: Clear Temp: 63 F Humidty: 60% Wind: 7 mph
0,"<title>September 13, 2009 - Miami Dolphins at Atlanta Falcons Game Statistics</title>",7,19,"Date: September 13, 2009 Location: Atlanta  GA","Date: September 13, 2009 Location: Atlanta  GA",Venue: Georgia Dome Attendance: 67606,Weather: Indoors
0,"<title>September 13, 2009 - Kansas City Chiefs at Baltimore Ravens Game Statistics</title>",24,38,"Date: September 13, 2009 Location: Baltimore, MD","Date: September 13, 2009 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 71099,Weather: Cloudy Temp: 76 F Humidty: 62% Wind: 5 mph
0,"<title>September 13, 2009 - Philadelphia Eagles at Carolina Panthers Game Statistics</title>",38,10,"Date: September 13, 2009 Location: Charlotte, NC","Date: September 13, 2009 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 73599,Weather: Cloudy Temp: 79 F Humidty: 49% Wind: 0 mph
0,"<title>September 13, 2009 - Denver Broncos at Cincinnati Bengals Game Statistics</title>",12,7,"Date: September 13, 2009 Location: Cincinnati, OH","Date: September 13, 2009 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 62831,Weather: Clear Temp: 74 F Humidty: 45% Wind: 5 mph
0,"<title>September 13, 2009 - Minnesota Vikings at Cleveland Browns Game Statistics</title>",34,20,"Date: September 13, 2009 Location: Cleveland, OH","Date: September 13, 2009 Location: Cleveland, OH",Venue: Cleveland Browns Stadium Attendance: 70560,Weather: Clear Temp: 71 F Humidty: 61% Wind: 9 mph
0,"<title>September 13, 2009 - Washington Redskins at New York Giants Game Statistics</title>",17,23,"Date: September 13, 2009 Location: East Rutherford, NJ","Date: September 13, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 78206,Weather: Clear Temp: 81 F Humidty: 35% Wind: 9 mph
0,"<title>September 13, 2009 - San Francisco 49ers at Arizona Cardinals Game Statistics</title>",20,16,"Date: September 13, 2009 Location: Glendale, AZ","Date: September 13, 2009 Location: Glendale, AZ",Venue: University of Phoenix Stadium Attendance: 61981,Weather: Indoors
0,"<title>September 13, 2009 - Chicago Bears at Green Bay Packers Game Statistics</title>",15,21,"Date: September 13, 2009 Location: Green Bay, WI","Date: September 13, 2009 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 70920,Weather: Clear Temp: 71 F Humidty: 73% Wind: 6 mph
0,"<title>September 13, 2009 - New York Jets at Houston Texans Game Statistics</title>",24,7,"Date: September 13, 2009 Location: Houston, TX","Date: September 13, 2009 Location: Houston, TX",Venue: Reliant Stadium Attendance: 70118,Weather: Cloudy Temp: 84 F Humidty: 65% Wind: 5 mph
0,"<title>September 13, 2009 - Jacksonville Jaguars at Indianapolis Colts Game Statistics</title>",12,14,"Date: September 13, 2009 Location: Indianapolis, IN","Date: September 13, 2009 Location: Indianapolis, IN",Venue: Lucas Oil Stadium Attendance: 65757,Weather: Scattered Clouds Temp: 75 F Humidty: 40% Wind: 14 mph
0,"<title>September 13, 2009 - Detroit Lions at New Orleans Saints Game Statistics</title>",27,45,"Date: September 13, 2009 Location: New Orleans, LA","Date: September 13, 2009 Location: New Orleans, LA",Venue: Louisiana Superdome Attendance: 69719,Weather: Indoors
0,"<title>September 13, 2009 - St. Louis Rams at Seattle Seahawks Game Statistics</title>",0,28,"Date: September 13, 2009 Location: Seattle, WA","Date: September 13, 2009 Location: Seattle, WA",Venue: Qwest Field Attendance: 67610,Weather: Clear Temp: 76 F Humidty: 50% Wind: 5 mph
0,"<title>September 13, 2009 - Dallas Cowboys at Tampa Bay Buccaneers Game Statistics</title>",34,21,"Date: September 13, 2009 Location: Tampa, FL","Date: September 13, 2009 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 63806,Weather: Cloudy Temp: 85 F Humidty: 80% Wind: 6 mph
0,"<title>September 14, 2009 - Buffalo Bills at New England Patriots Game Statistics</title>",24,25,"Date: September 14, 2009 Location: Foxborough, MA","Date: September 14, 2009 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 68756,Weather: Clear Temp: 69 F Humidty: 55% Wind: 3 mph
0,"<title>September 14, 2009 - San Diego Chargers at Oakland Raiders Game Statistics</title>",24,20,"Date: September 14, 2009 Location: Oakland, CA","Date: September 14, 2009 Location: Oakland, CA",Venue: Oakland Coliseum Attendance: 61940,Weather: Partly Cloudy Temp: 65 F Humidty: 78% Wind: 12 mph
0,"<title>September 20, 2009 - New York Giants at Dallas Cowboys Game Statistics</title>",33,31,"Date: September 20, 2009 Location: Arlington, TX","Date: September 20, 2009 Location: Arlington, TX",Venue: Cowboys Stadium Attendance: 105121,Weather: Partly Cloudy Temp: 86 F Humidty: 48% Wind: 6 mph
0,"<title>September 20, 2009 - Carolina Panthers at Atlanta Falcons Game Statistics</title>",20,28,"Date: September 20, 2009 Location: Atlanta  GA","Date: September 20, 2009 Location: Atlanta  GA",Venue: Georgia Dome Attendance: 67313,Weather: Indoors
0,"<title>September 20, 2009 - Pittsburgh Steelers at Chicago Bears Game Statistics</title>",14,17,"Date: September 20, 2009 Location: Chicago, IL","Date: September 20, 2009 Location: Chicago, IL",Venue: Soldier Field Attendance: 62231,Weather: Overcast Temp: 70 F Humidty: 57% Wind: 14 mph
0,"<title>September 20, 2009 - Cleveland Browns at Denver Broncos Game Statistics</title>",6,27,"Date: September 20, 2009 Location: Denver, CO","Date: September 20, 2009 Location: Denver, CO",Venue: INVESCO Field Attendance: 73931,Weather: Cloudy Temp: 84 F Humidty: 12% Wind: 17 mph
0,"<title>September 20, 2009 - Minnesota Vikings at Detroit Lions Game Statistics</title>",27,13,"Date: September 20, 2009 Location: Detroit, MI","Date: September 20, 2009 Location: Detroit, MI",Venue: Ford Field Attendance: 56269,Weather: Indoors
0,"<title>September 20, 2009 - New England Patriots at New York Jets Game Statistics</title>",9,16,"Date: September 20, 2009 Location: East Rutherford, NJ","Date: September 20, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 78312,Weather: Clear Temp: 71 F Humidty: 35% Wind: 5 mph
