,teams,team 1 pts,team 2 pts,date,location,venue,weather
0,"<title>September 20, 2009 - Cincinnati Bengals at Green Bay Packers Game Statistics</title>",31,24,"Date: September 20, 2009 Location: Green Bay, WI","Date: September 20, 2009 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 70678,Weather: Cloudy Temp: 69 F Humidty: 51% Wind: 6 mph
0,"<title>September 20, 2009 - Arizona Cardinals at Jacksonville Jaguars Game Statistics</title>",31,17,"Date: September 20, 2009 Location: Jacksonville, FL","Date: September 20, 2009 Location: Jacksonville, FL",Venue: Jacksonville Municipal Stadium Attendance: 46520,Weather: Cloudy Temp: 87 F Humidty: 68% Wind: 10 mph
0,"<title>September 20, 2009 - Oakland Raiders at Kansas City Chiefs Game Statistics</title>",13,10,"Date: September 20, 2009 Location: Kansas City, MO","Date: September 20, 2009 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 69169,Weather: Overcast Temp: 71 F Humidty: 71% Wind: 0 mph
0,"<title>September 20, 2009 - St. Louis Rams at Washington Redskins Game Statistics</title>",7,9,"Date: September 20, 2009 Location: Landover, MD","Date: September 20, 2009 Location: Landover, MD",Venue: FedExField Attendance: 87780,Weather: Clear Temp: 73 F Humidty: 48% Wind: 5 mph
0,"<title>September 20, 2009 - Houston Texans at Tennessee Titans Game Statistics</title>",34,31,"Date: September 20, 2009 Location: Nashville, TN","Date: September 20, 2009 Location: Nashville, TN",Venue: LP Field Attendance: 69143,Weather: Overcast Temp: 79 F Humidty: 79% Wind: 16 mph
0,"<title>September 20, 2009 - Tampa Bay Buccaneers at Buffalo Bills Game Statistics</title>",20,33,"Date: September 20, 2009 Location: Orchard Park, NY","Date: September 20, 2009 Location: Orchard Park, NY",Venue: Ralph Wilson Stadium Attendance: 70318,Weather: Cloudy Temp: 75 F Humidty: 33% Wind: 3 mph
0,"<title>September 20, 2009 - New Orleans Saints at Philadelphia Eagles Game Statistics</title>",48,22,"Date: September 20, 2009 Location: Philadelphia, PA","Date: September 20, 2009 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69144,Weather: Partly Cloudy Temp: 71 F Humidty: 41% Wind: 6 mph
0,"<title>September 20, 2009 - Baltimore Ravens at San Diego Chargers Game Statistics</title>",31,26,"Date: September 20, 2009 Location: San Diego, CA","Date: September 20, 2009 Location: San Diego, CA",Venue: Qualcomm Stadium Attendance: 66882,Weather: Clear Temp: 83 F Humidty: 51% Wind: 8 mph
0,"<title>September 20, 2009 - Seattle Seahawks at San Francisco 49ers Game Statistics</title>",10,23,"Date: September 20, 2009 Location: San Francisco, CA","Date: September 20, 2009 Location: San Francisco, CA",Venue: Candlestick Park Attendance: 69732,Weather: Clear Temp: 70 F Humidty: 71% Wind: 6 mph
0,"<title>September 21, 2009 - Indianapolis Colts at Miami Dolphins Game Statistics</title>",27,23,"Date: September 21, 2009 Location: Miami Gardens, FL","Date: September 21, 2009 Location: Miami Gardens, FL",Venue: Land Shark Stadium Attendance: 66227,Weather: Clear Temp: 83 F Humidty: 72% Wind: 5 mph
0,"<title>September 27, 2009 - Cleveland Browns at Baltimore Ravens Game Statistics</title>",3,34,"Date: September 27, 2009 Location: Baltimore, MD","Date: September 27, 2009 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 70950,Weather: Cloudy Temp: 72 F Humidty: 76% Wind: 6 mph
0,"<title>September 27, 2009 - Pittsburgh Steelers at Cincinnati Bengals Game Statistics</title>",20,23,"Date: September 27, 2009 Location: Cincinnati, OH","Date: September 27, 2009 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 64538,Weather: Cloudy Temp: 66 F Humidty: 70% Wind: 9 mph
0,"<title>September 27, 2009 - Washington Redskins at Detroit Lions Game Statistics</title>",14,19,"Date: September 27, 2009 Location: Detroit, MI","Date: September 27, 2009 Location: Detroit, MI",Venue: Ford Field Attendance: 40896,Weather: Indoors
0,"<title>September 27, 2009 - Tennessee Titans at New York Jets Game Statistics</title>",17,24,"Date: September 27, 2009 Location: East Rutherford, NJ","Date: September 27, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 75863,Weather: Light Rain Temp: 66 F Humidty: 90% Wind: 3 mph
0,"<title>September 27, 2009 - Atlanta Falcons at New England Patriots Game Statistics</title>",10,26,"Date: September 27, 2009 Location: Foxborough, MA","Date: September 27, 2009 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 68756,Weather: Light Rain Temp: 64 F Humidty: 90% Wind: 3 mph
0,"<title>September 27, 2009 - Indianapolis Colts at Arizona Cardinals Game Statistics</title>",31,10,"Date: September 27, 2009 Location: Glendale, AZ","Date: September 27, 2009 Location: Glendale, AZ",Venue: University of Phoenix Stadium Attendance: 62692,Weather: Indoors
0,"<title>September 27, 2009 - Jacksonville Jaguars at Houston Texans Game Statistics</title>",31,24,"Date: September 27, 2009 Location: Houston, TX","Date: September 27, 2009 Location: Houston, TX",Venue: Reliant Stadium Attendance: 70083,Weather: Cloudy Temp: 86 F Humidty: 63% Wind: 9 mph
0,"<title>September 27, 2009 - San Francisco 49ers at Minnesota Vikings Game Statistics</title>",24,27,"Date: September 27, 2009 Location: Minneapolis, MN","Date: September 27, 2009 Location: Minneapolis, MN",Venue: Hubert H. Humphrey Metrodome Attendance: 63398,Weather: Indoors
0,"<title>September 27, 2009 - Denver Broncos at Oakland Raiders Game Statistics</title>",23,3,"Date: September 27, 2009 Location: Oakland, CA","Date: September 27, 2009 Location: Oakland, CA",Venue: Oakland Coliseum Attendance: 45602,Weather: Scattered Clouds Temp: 81 F Humidty: 42% Wind: 7 mph
0,"<title>September 27, 2009 - New Orleans Saints at Buffalo Bills Game Statistics</title>",27,7,"Date: September 27, 2009 Location: Orchard Park, NY","Date: September 27, 2009 Location: Orchard Park, NY",Venue: Ralph Wilson Stadium Attendance: 70261,Weather: Cloudy Temp: 65 F Humidty: 78% Wind: 10 mph
0,"<title>September 27, 2009 - Kansas City Chiefs at Philadelphia Eagles Game Statistics</title>",14,34,"Date: September 27, 2009 Location: Philadelphia, PA","Date: September 27, 2009 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69144,Weather: Cloudy Temp: 70 F Humidty: 90% Wind: 0 mph
0,"<title>September 27, 2009 - Miami Dolphins at San Diego Chargers Game Statistics</title>",13,23,"Date: September 27, 2009 Location: San Diego, CA","Date: September 27, 2009 Location: San Diego, CA",Venue: Qualcomm Stadium Attendance: 67230,Weather: Clear Temp: 82 F Humidty: 55% Wind: 7 mph
0,"<title>September 27, 2009 - Chicago Bears at Seattle Seahawks Game Statistics</title>",25,19,"Date: September 27, 2009 Location: Seattle, WA","Date: September 27, 2009 Location: Seattle, WA",Venue: Qwest Field Attendance: 67938,Weather: Clear Temp: 62 F Humidty: 54% Wind: 10 mph
0,"<title>September 27, 2009 - Green Bay Packers at St. Louis Rams Game Statistics</title>",36,17,"Date: September 27, 2009 Location: St. Louis, MO","Date: September 27, 2009 Location: St. Louis, MO",Venue: Edward Jones Dome Attendance: 60234,Weather: Indoors
0,"<title>September 27, 2009 - New York Giants at Tampa Bay Buccaneers Game Statistics</title>",24,0,"Date: September 27, 2009 Location: Tampa, FL","Date: September 27, 2009 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 63689,Weather: Cloudy Temp: 88 F Humidty: 68% Wind: 10 mph
0,"<title>September 28, 2009 - Carolina Panthers at Dallas Cowboys Game Statistics</title>",7,21,"Date: September 28, 2009 Location: Arlington, TX","Date: September 28, 2009 Location: Arlington, TX",Venue: Cowboys Stadium Attendance: 90588,Weather: Indoors
0,"<title>October 4, 2009 - Detroit Lions at Chicago Bears Game Statistics</title>",24,48,"Date: October 4, 2009 Location: Chicago, IL","Date: October 4, 2009 Location: Chicago, IL",Venue: Soldier Field Attendance: 62192,Weather: Cloudy Temp: 55 F Humidty: 64% Wind: 14 mph
0,"<title>October 4, 2009 - Cincinnati Bengals at Cleveland Browns Game Statistics</title>",23,20,"Date: October 4, 2009 Location: Cleveland, OH","Date: October 4, 2009 Location: Cleveland, OH",Venue: Cleveland Browns Stadium Attendance: 69844,Weather: Overcast Temp: 57 F Humidty: 62% Wind: 13 mph
0,"<title>October 4, 2009 - Dallas Cowboys at Denver Broncos Game Statistics</title>",10,17,"Date: October 4, 2009 Location: Denver, CO","Date: October 4, 2009 Location: Denver, CO",Venue: INVESCO Field Attendance: 76440,Weather: Cloudy Temp: 50 F Humidty: 61% Wind: 13 mph
0,"<title>October 4, 2009 - Baltimore Ravens at New England Patriots Game Statistics</title>",21,27,"Date: October 4, 2009 Location: Foxborough, MA","Date: October 4, 2009 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 68756,Weather: Overcast Temp: 64 F Humidty: 75% Wind: 8 mph
0,"<title>October 4, 2009 - Oakland Raiders at Houston Texans Game Statistics</title>",6,29,"Date: October 4, 2009 Location: Houston, TX","Date: October 4, 2009 Location: Houston, TX",Venue: Reliant Stadium Attendance: 70291,Weather: Rain Temp: 79 F Humidty: 82% Wind: 14 mph
0,"<title>October 4, 2009 - Seattle Seahawks at Indianapolis Colts Game Statistics</title>",17,34,"Date: October 4, 2009 Location: Indianapolis, IN","Date: October 4, 2009 Location: Indianapolis, IN",Venue: Lucas Oil Stadium Attendance: 66112,Weather: Cloudy Temp: 58 F Humidty: 51% Wind: 9 mph
0,"<title>October 4, 2009 - Tennessee Titans at Jacksonville Jaguars Game Statistics</title>",17,37,"Date: October 4, 2009 Location: Jacksonville, FL","Date: October 4, 2009 Location: Jacksonville, FL",Venue: Jacksonville Municipal Stadium Attendance: 49014,Weather: Overcast Temp: 83 F Humidty: 65% Wind: 8 mph
0,"<title>October 4, 2009 - New York Giants at Kansas City Chiefs Game Statistics</title>",27,16,"Date: October 4, 2009 Location: Kansas City, MO","Date: October 4, 2009 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 69238,Weather: Clear Temp: 59 F Humidty: 47% Wind: 7 mph
0,"<title>October 4, 2009 - Tampa Bay Buccaneers at Washington Redskins Game Statistics</title>",13,16,"Date: October 4, 2009 Location: Landover, MD","Date: October 4, 2009 Location: Landover, MD",Venue: FedExField Attendance: 86412,Weather: Clear Temp: 70 F Humidty: 38% Wind: 10 mph
0,"<title>October 4, 2009 - Buffalo Bills at Miami Dolphins Game Statistics</title>",10,38,"Date: October 4, 2009 Location: Miami Gardens, FL","Date: October 4, 2009 Location: Miami Gardens, FL",Venue: Land Shark Stadium Attendance: 65523,Weather: Clear Temp: 88 F Humidty: 59% Wind: 13 mph
0,"<title>October 4, 2009 - New York Jets at New Orleans Saints Game Statistics</title>",10,24,"Date: October 4, 2009 Location: New Orleans, LA","Date: October 4, 2009 Location: New Orleans, LA",Venue: Louisiana Superdome Attendance: 70009,Weather: Indoors
0,"<title>October 4, 2009 - San Diego Chargers at Pittsburgh Steelers Game Statistics</title>",28,38,"Date: October 4, 2009 Location: Pittsburgh, PA","Date: October 4, 2009 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 64045,Weather: Overcast Temp: 53 F Humidty: 69% Wind: 6 mph
0,"<title>October 4, 2009 - St. Louis Rams at San Francisco 49ers Game Statistics</title>",0,35,"Date: October 4, 2009 Location: San Francisco, CA","Date: October 4, 2009 Location: San Francisco, CA",Venue: Candlestick Park Attendance: 69732,Weather: Scattered Clouds Temp: 62 F Humidty: 44% Wind: 14 mph
0,"<title>October 5, 2009 - Green Bay Packers at Minnesota Vikings Game Statistics</title>",23,30,"Date: October 5, 2009 Location: Minneapolis, MN","Date: October 5, 2009 Location: Minneapolis, MN",Venue: Mall of America Field Attendance: 63846,Weather: Indoors
0,"<title>October 11, 2009 - Cincinnati Bengals at Baltimore Ravens Game Statistics</title>",17,14,"Date: October 11, 2009 Location: Baltimore, MD","Date: October 11, 2009 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 71161,Weather: Cloudy Temp: 65 F Humidty: 45% Wind: 8 mph
0,"<title>October 11, 2009 - Washington Redskins at Carolina Panthers Game Statistics</title>",17,20,"Date: October 11, 2009 Location: Charlotte, NC","Date: October 11, 2009 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 73487,Weather: Overcast Temp: 65 F Humidty: 61% Wind: 0 mph
0,"<title>October 11, 2009 - New England Patriots at Denver Broncos Game Statistics</title>",17,20,"Date: October 11, 2009 Location: Denver, CO","Date: October 11, 2009 Location: Denver, CO",Venue: INVESCO Field Attendance: 76011,Weather: Haze Temp: 28 F Humidty: 81% Wind: 3 mph
0,"<title>October 11, 2009 - Pittsburgh Steelers at Detroit Lions Game Statistics</title>",28,20,"Date: October 11, 2009 Location: Detroit, MI","Date: October 11, 2009 Location: Detroit, MI",Venue: Ford Field Attendance: 59333,Weather: Indoors
0,"<title>October 11, 2009 - Oakland Raiders at New York Giants Game Statistics</title>",7,44,"Date: October 11, 2009 Location: East Rutherford, NJ","Date: October 11, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 79012,Weather: Scattered Clouds Temp: 63 F Humidty: 40% Wind: 13 mph
0,"<title>October 11, 2009 - Houston Texans at Arizona Cardinals Game Statistics</title>",21,28,"Date: October 11, 2009 Location: Glendale, AZ","Date: October 11, 2009 Location: Glendale, AZ",Venue: University of Phoenix Stadium Attendance: 61819,Weather: Indoors
0,"<title>October 11, 2009 - Dallas Cowboys at Kansas City Chiefs Game Statistics</title>",26,20,"Date: October 11, 2009 Location: Kansas City, MO","Date: October 11, 2009 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 71214,Weather: Overcast Temp: 39 F Humidty: 54% Wind: 14 mph
0,"<title>October 11, 2009 - Indianapolis Colts at Tennessee Titans Game Statistics</title>",31,9,"Date: October 11, 2009 Location: Nashville, TN","Date: October 11, 2009 Location: Nashville, TN",Venue: LP Field Attendance: 69143,Weather: Cloudy Temp: 56 F Humidty: 77% Wind: 7 mph
0,"<title>October 11, 2009 - Cleveland Browns at Buffalo Bills Game Statistics</title>",6,3,"Date: October 11, 2009 Location: Orchard Park, NY","Date: October 11, 2009 Location: Orchard Park, NY",Venue: Ralph Wilson Stadium Attendance: 70526,Weather: Partly Cloudy Temp: 47 F Humidty: 45% Wind: 18 mph
0,"<title>October 11, 2009 - Tampa Bay Buccaneers at Philadelphia Eagles Game Statistics</title>",14,33,"Date: October 11, 2009 Location: Philadelphia, PA","Date: October 11, 2009 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69144,Weather: Partly Cloudy Temp: 64 F Humidty: 41% Wind: 8 mph
0,"<title>October 11, 2009 - Atlanta Falcons at San Francisco 49ers Game Statistics</title>",45,10,"Date: October 11, 2009 Location: San Francisco, CA","Date: October 11, 2009 Location: San Francisco, CA",Venue: Candlestick Park Attendance: 69732,Weather: Cloudy Temp: 59 F Humidty: 67% Wind: 14 mph
0,"<title>October 11, 2009 - Jacksonville Jaguars at Seattle Seahawks Game Statistics</title>",0,41,"Date: October 11, 2009 Location: Seattle, WA","Date: October 11, 2009 Location: Seattle, WA",Venue: Qwest Field Attendance: 67228,Weather: Clear Temp: 55 F Humidty: 26% Wind: 3 mph
0,"<title>October 11, 2009 - Minnesota Vikings at St. Louis Rams Game Statistics</title>",38,10,"Date: October 11, 2009 Location: St. Louis, MO","Date: October 11, 2009 Location: St. Louis, MO",Venue: Edward Jones Dome Attendance: 60166,Weather: Indoors
0,"<title>October 12, 2009 - New York Jets at Miami Dolphins Game Statistics</title>",27,31,"Date: October 12, 2009 Location: Miami Gardens, FL","Date: October 12, 2009 Location: Miami Gardens, FL",Venue: Land Shark Stadium Attendance: 69767,Weather: Clear Temp: 83 F Humidty: 70% Wind: 3 mph
0,"<title>October 18, 2009 - Chicago Bears at Atlanta Falcons Game Statistics</title>",14,21,"Date: October 18, 2009 Location: Atlanta  GA","Date: October 18, 2009 Location: Atlanta  GA",Venue: Georgia Dome Attendance: 68082,Weather: Indoors
0,"<title>October 18, 2009 - Houston Texans at Cincinnati Bengals Game Statistics</title>",28,17,"Date: October 18, 2009 Location: Cincinnati, OH","Date: October 18, 2009 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 64019,Weather: Clear Temp: 51 F Humidty: 38% Wind: 3 mph
0,"<title>October 18, 2009 - Buffalo Bills at New York Jets Game Statistics</title>",16,13,"Date: October 18, 2009 Location: East Rutherford, NJ","Date: October 18, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 76048,Weather: Light Rain Temp: 44 F Humidty: 73% Wind: 17 mph
0,"<title>October 18, 2009 - Tennessee Titans at New England Patriots Game Statistics</title>",0,59,"Date: October 18, 2009 Location: Foxborough, MA","Date: October 18, 2009 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 68756,Weather: Light Snow Temp: 34 F Humidty: 100% Wind: 9 mph
0,"<title>October 18, 2009 - Detroit Lions at Green Bay Packers Game Statistics</title>",0,26,"Date: October 18, 2009 Location: Green Bay, WI","Date: October 18, 2009 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 70801,Weather: Clear Temp: 46 F Humidty: 65% Wind: 14 mph
0,"<title>October 18, 2009 - St. Louis Rams at Jacksonville Jaguars Game Statistics</title>",20,23,"Date: October 18, 2009 Location: Jacksonville, FL","Date: October 18, 2009 Location: Jacksonville, FL",Venue: Jacksonville Municipal Stadium Attendance: 42088,Weather: Scattered Clouds Temp: 61 F Humidty: 41% Wind: 15 mph
0,"<title>October 18, 2009 - Kansas City Chiefs at Washington Redskins Game Statistics</title>",14,6,"Date: October 18, 2009 Location: Landover, MD","Date: October 18, 2009 Location: Landover, MD",Venue: FedExField Attendance: 79572,Weather: Overcast Temp: 50 F Humidty: 77% Wind: 10 mph
0,"<title>October 18, 2009 - Baltimore Ravens at Minnesota Vikings Game Statistics</title>",31,33,"Date: October 18, 2009 Location: Minneapolis, MN","Date: October 18, 2009 Location: Minneapolis, MN",Venue: Mall of America Field Attendance: 63689,Weather: Indoors
0,"<title>October 18, 2009 - New York Giants at New Orleans Saints Game Statistics</title>",27,48,"Date: October 18, 2009 Location: New Orleans, LA","Date: October 18, 2009 Location: New Orleans, LA",Venue: Louisiana Superdome Attendance: 70011,Weather: Indoors
0,"<title>October 18, 2009 - Philadelphia Eagles at Oakland Raiders Game Statistics</title>",9,13,"Date: October 18, 2009 Location: Oakland, CA","Date: October 18, 2009 Location: Oakland, CA",Venue: Oakland Coliseum Attendance: 49642,Weather: Cloudy Temp: 63 F Humidty: 72% Wind: 12 mph
0,"<title>October 18, 2009 - Cleveland Browns at Pittsburgh Steelers Game Statistics</title>",14,27,"Date: October 18, 2009 Location: Pittsburgh, PA","Date: October 18, 2009 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 64398,Weather: Cloudy Temp: 44 F Humidty: 65% Wind: 9 mph
0,"<title>October 18, 2009 - Arizona Cardinals at Seattle Seahawks Game Statistics</title>",27,3,"Date: October 18, 2009 Location: Seattle, WA","Date: October 18, 2009 Location: Seattle, WA",Venue: Qwest Field Attendance: 67588,Weather: Overcast Temp: 61 F Humidty: 67% Wind: 7 mph
0,"<title>October 18, 2009 - Carolina Panthers at Tampa Bay Buccaneers Game Statistics</title>",28,21,"Date: October 18, 2009 Location: Tampa, FL","Date: October 18, 2009 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 62422,Weather: Partly Cloudy Temp: 65 F Humidty: 48% Wind: 18 mph
0,"<title>October 19, 2009 - Denver Broncos at San Diego Chargers Game Statistics</title>",34,23,"Date: October 19, 2009 Location: San Diego, CA","Date: October 19, 2009 Location: San Diego, CA",Venue: Qualcomm Stadium Attendance: 68615,Weather: Overcast Temp: 66 F Humidty: 70% Wind: 8 mph
0,"<title>October 25, 2009 - Atlanta Falcons at Dallas Cowboys Game Statistics</title>",21,37,"Date: October 25, 2009 Location: Arlington, TX","Date: October 25, 2009 Location: Arlington, TX",Venue: Cowboys Stadium Attendance: 81521,Weather: Indoors
0,"<title>October 25, 2009 - Buffalo Bills at Carolina Panthers Game Statistics</title>",20,9,"Date: October 25, 2009 Location: Charlotte, NC","Date: October 25, 2009 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 73497,Weather: Cloudy Temp: 60 F Humidty: 51% Wind: 7 mph
0,"<title>October 25, 2009 - Chicago Bears at Cincinnati Bengals Game Statistics</title>",10,45,"Date: October 25, 2009 Location: Cincinnati, OH","Date: October 25, 2009 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 64900,Weather: Clear Temp: 62 F Humidty: 36% Wind: 7 mph
0,"<title>October 25, 2009 - Green Bay Packers at Cleveland Browns Game Statistics</title>",31,3,"Date: October 25, 2009 Location: Cleveland, OH","Date: October 25, 2009 Location: Cleveland, OH",Venue: Cleveland Browns Stadium Attendance: 69797,Weather: Overcast Temp: 55 F Humidty: 49% Wind: 7 mph
0,"<title>October 25, 2009 - Arizona Cardinals at New York Giants Game Statistics</title>",24,17,"Date: October 25, 2009 Location: East Rutherford, NJ","Date: October 25, 2009 Location: East Rutherford, NJ",Venue: Giants Stadium Attendance: 78299,Weather: Clear Temp: 56 F Humidty: 45% Wind: 3 mph
0,"<title>October 25, 2009 - San Francisco 49ers at Houston Texans Game Statistics</title>",21,24,"Date: October 25, 2009 Location: Houston, TX","Date: October 25, 2009 Location: Houston, TX",Venue: Reliant Stadium Attendance: 70820,"Weather: Sunny Temp: 74 F Humidity: 68%, Wind: SE 16 mph"
