,teams,team 1 pts,team 2 pts,date,location,venue,weather
0,"<title>September 8 ,2022 - Buffalo Bills at Los Angeles Rams Game Statistics</title>",31,10,"Date: September 8 ,2022 Location: Inglewood, CA","Date: September 8 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 73846,
0,"<title>September 11 ,2022 - New Orleans Saints at Atlanta Falcons Game Statistics</title>",27,26,"Date: September 11 ,2022 Location: Atlanta, GA","Date: September 11 ,2022 Location: Atlanta, GA",Venue: Mercedes-Benz Stadium Attendance: 70078,
0,"<title>September 11 ,2022 - Cleveland Browns at Carolina Panthers Game Statistics</title>",26,24,"Date: September 11 ,2022 Location: Charlotte, NC","Date: September 11 ,2022 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 72205,
0,"<title>September 11 ,2022 - San Francisco 49ers at Chicago Bears Game Statistics</title>",10,19,"Date: September 11 ,2022 Location: Chicago, IL","Date: September 11 ,2022 Location: Chicago, IL",Venue: Soldier Field Attendance: 62159,
0,"<title>September 11 ,2022 - Pittsburgh Steelers at Cincinnati Bengals Game Statistics</title>",23,20,"Date: September 11 ,2022 Location: Cincinnati, OH","Date: September 11 ,2022 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 65841,
0,"<title>September 11 ,2022 - Philadelphia Eagles at Detroit Lions Game Statistics</title>",38,35,"Date: September 11 ,2022 Location: Detroit, MI","Date: September 11 ,2022 Location: Detroit, MI",Venue: Ford Field Attendance: 64537,
0,"<title>September 11 ,2022 - Indianapolis Colts at Houston Texans Game Statistics</title>",20,20,"Date: September 11 ,2022 Location: Houston, TX","Date: September 11 ,2022 Location: Houston, TX",Venue: NRG Stadium Attendance: 69415,
0,"<title>September 11 ,2022 - New England Patriots at Miami Dolphins Game Statistics</title>",7,20,"Date: September 11 ,2022 Location: Miami Gardens, FL","Date: September 11 ,2022 Location: Miami Gardens, FL",Venue: Hard Rock Stadium Attendance: 65786,
0,"<title>September 11 ,2022 - Baltimore Ravens at New York Jets Game Statistics</title>",24,9,"Date: September 11 ,2022 Location: East Rutherford, NJ","Date: September 11 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 78827,
0,"<title>September 11 ,2022 - Jacksonville Jaguars at Washington Commanders Game Statistics</title>",22,28,"Date: September 11 ,2022 Location: Landover, MD","Date: September 11 ,2022 Location: Landover, MD",Venue: FedExField Attendance: 58192,
0,"<title>September 11 ,2022 - Kansas City Chiefs at Arizona Cardinals Game Statistics</title>",44,21,"Date: September 11 ,2022 Location: Glendale, AZ","Date: September 11 ,2022 Location: Glendale, AZ",Venue: State Farm Stadium Attendance: 63697,
0,"<title>September 11 ,2022 - Las Vegas Raiders at Los Angeles Chargers Game Statistics</title>",19,24,"Date: September 11 ,2022 Location: Inglewood, CA","Date: September 11 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 70240,
0,"<title>September 11 ,2022 - Green Bay Packers at Minnesota Vikings Game Statistics</title>",7,23,"Date: September 11 ,2022 Location: Minneapolis, MN","Date: September 11 ,2022 Location: Minneapolis, MN",Venue: US Bank Stadium Attendance: 66959,
0,"<title>September 11 ,2022 - New York Giants at Tennessee Titans Game Statistics</title>",21,20,"Date: September 11 ,2022 Location: Nashville, TN","Date: September 11 ,2022 Location: Nashville, TN",Venue: Nissan Stadium Attendance: 67805,
0,"<title>September 11 ,2022 - Tampa Bay Buccaneers at Dallas Cowboys Game Statistics</title>",19,3,"Date: September 11 ,2022 Location: Arlington, TX","Date: September 11 ,2022 Location: Arlington, TX",Venue: AT&T Stadium Attendance: 93797,
0,"<title>September 12 ,2022 - Denver Broncos at Seattle Seahawks Game Statistics</title>",16,17,"Date: September 12 ,2022 Location: Seattle, WA","Date: September 12 ,2022 Location: Seattle, WA",Venue: Lumen Field Attendance: 68965,
0,"<title>September 15 ,2022 - Los Angeles Chargers at Kansas City Chiefs Game Statistics</title>",24,27,"Date: September 15 ,2022 Location: Kansas City, MO","Date: September 15 ,2022 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 73461,
0,"<title>September 18 ,2022 - Miami Dolphins at Baltimore Ravens Game Statistics</title>",42,38,"Date: September 18 ,2022 Location: Baltimore, MD","Date: September 18 ,2022 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 70582,
0,"<title>September 18 ,2022 - New York Jets at Cleveland Browns Game Statistics</title>",31,30,"Date: September 18 ,2022 Location: Cleveland, OH","Date: September 18 ,2022 Location: Cleveland, OH",Venue: FirstEnergy Stadium Attendance: 67431,
