,teams,team 1 pts,team 2 pts,date,location,venue,weather
0,"<title>September 18 ,2022 - Washington Commanders at Detroit Lions Game Statistics</title>",27,36,"Date: September 18 ,2022 Location: Detroit, MI","Date: September 18 ,2022 Location: Detroit, MI",Venue: Ford Field Attendance: 57687,
0,"<title>September 18 ,2022 - Indianapolis Colts at Jacksonville Jaguars Game Statistics</title>",0,24,"Date: September 18 ,2022 Location: Jacksonville, FL","Date: September 18 ,2022 Location: Jacksonville, FL",Venue: TIAA Bank Field Attendance: 58360,
0,"<title>September 18 ,2022 - Tampa Bay Buccaneers at New Orleans Saints Game Statistics</title>",20,10,"Date: September 18 ,2022 Location: New Orleans, LA","Date: September 18 ,2022 Location: New Orleans, LA",Venue: Caesars Superdome Attendance: 70040,
0,"<title>September 18 ,2022 - Carolina Panthers at New York Giants Game Statistics</title>",16,19,"Date: September 18 ,2022 Location: East Rutherford, NJ","Date: September 18 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 73843,
0,"<title>September 18 ,2022 - New England Patriots at Pittsburgh Steelers Game Statistics</title>",17,14,"Date: September 18 ,2022 Location: Pittsburgh, PA","Date: September 18 ,2022 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 67307,
0,"<title>September 18 ,2022 - Atlanta Falcons at Los Angeles Rams Game Statistics</title>",27,31,"Date: September 18 ,2022 Location: Inglewood, CA","Date: September 18 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 71802,
0,"<title>September 18 ,2022 - Seattle Seahawks at San Francisco 49ers Game Statistics</title>",7,27,"Date: September 18 ,2022 Location: Santa Clara, CA","Date: September 18 ,2022 Location: Santa Clara, CA",Venue: Levi's Stadium Attendance: 71597,
0,"<title>September 18 ,2022 - Cincinnati Bengals at Dallas Cowboys Game Statistics</title>",17,20,"Date: September 18 ,2022 Location: Arlington, TX","Date: September 18 ,2022 Location: Arlington, TX",Venue: AT&T Stadium Attendance: 92944,
0,"<title>September 18 ,2022 - Houston Texans at Denver Broncos Game Statistics</title>",9,16,"Date: September 18 ,2022 Location: Denver, CO","Date: September 18 ,2022 Location: Denver, CO",Venue: Empower Field Attendance: 76191,
0,"<title>September 18 ,2022 - Arizona Cardinals at Las Vegas Raiders Game Statistics</title>",29,23,"Date: September 18 ,2022 Location: Paradise, NV","Date: September 18 ,2022 Location: Paradise, NV",Venue: Allegiant Stadium Attendance: 61707,
0,"<title>September 18 ,2022 - Chicago Bears at Green Bay Packers Game Statistics</title>",10,27,"Date: September 18 ,2022 Location: Green Bay, WI","Date: September 18 ,2022 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 78350,
0,"<title>September 19 ,2022 - Tennessee Titans at Buffalo Bills Game Statistics</title>",7,41,"Date: September 19 ,2022 Location: Orchard Park, NY","Date: September 19 ,2022 Location: Orchard Park, NY",Venue: Highmark Stadium Attendance: 70683,
0,"<title>September 19 ,2022 - Minnesota Vikings at Philadelphia Eagles Game Statistics</title>",7,24,"Date: September 19 ,2022 Location: Philadelphia, PA","Date: September 19 ,2022 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69879,
0,"<title>September 22 ,2022 - Pittsburgh Steelers at Cleveland Browns Game Statistics</title>",17,29,"Date: September 22 ,2022 Location: Cleveland, OH","Date: September 22 ,2022 Location: Cleveland, OH",Venue: FirstEnergy Stadium Attendance: 67431,
0,"<title>September 25 ,2022 - New Orleans Saints at Carolina Panthers Game Statistics</title>",14,22,"Date: September 25 ,2022 Location: Charlotte, NC","Date: September 25 ,2022 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 70496,
0,"<title>September 25 ,2022 - Houston Texans at Chicago Bears Game Statistics</title>",20,23,"Date: September 25 ,2022 Location: Chicago, IL","Date: September 25 ,2022 Location: Chicago, IL",Venue: Soldier Field Attendance: 60592,
0,"<title>September 25 ,2022 - Kansas City Chiefs at Indianapolis Colts Game Statistics</title>",17,20,"Date: September 25 ,2022 Location: Indianapolis, IN","Date: September 25 ,2022 Location: Indianapolis, IN",Venue: Lucas Oil Stadium Attendance: 65975,
0,"<title>September 25 ,2022 - Buffalo Bills at Miami Dolphins Game Statistics</title>",19,21,"Date: September 25 ,2022 Location: Miami Gardens, FL","Date: September 25 ,2022 Location: Miami Gardens, FL",Venue: Hard Rock Stadium Attendance: 66206,
0,"<title>September 25 ,2022 - Detroit Lions at Minnesota Vikings Game Statistics</title>",24,28,"Date: September 25 ,2022 Location: Minneapolis, MN","Date: September 25 ,2022 Location: Minneapolis, MN",Venue: US Bank Stadium Attendance: 66638,
0,"<title>September 25 ,2022 - Baltimore Ravens at New England Patriots Game Statistics</title>",37,26,"Date: September 25 ,2022 Location: Foxborough, MA","Date: September 25 ,2022 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 65878,
0,"<title>September 25 ,2022 - Cincinnati Bengals at New York Jets Game Statistics</title>",27,12,"Date: September 25 ,2022 Location: East Rutherford, NJ","Date: September 25 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 73708,
0,"<title>September 25 ,2022 - Las Vegas Raiders at Tennessee Titans Game Statistics</title>",22,24,"Date: September 25 ,2022 Location: Nashville, TN","Date: September 25 ,2022 Location: Nashville, TN",Venue: Nissan Stadium Attendance: 68649,
0,"<title>September 25 ,2022 - Philadelphia Eagles at Washington Commanders Game Statistics</title>",24,8,"Date: September 25 ,2022 Location: Landover, MD","Date: September 25 ,2022 Location: Landover, MD",Venue: FedExField Attendance: 64426,
0,"<title>September 25 ,2022 - Jacksonville Jaguars at Los Angeles Chargers Game Statistics</title>",38,10,"Date: September 25 ,2022 Location: Inglewood, CA","Date: September 25 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 67964,
0,"<title>September 25 ,2022 - Los Angeles Rams at Arizona Cardinals Game Statistics</title>",20,12,"Date: September 25 ,2022 Location: Glendale, AZ","Date: September 25 ,2022 Location: Glendale, AZ",Venue: State Farm Stadium Attendance: 63243,
0,"<title>September 25 ,2022 - Atlanta Falcons at Seattle Seahawks Game Statistics</title>",27,23,"Date: September 25 ,2022 Location: Seattle, WA","Date: September 25 ,2022 Location: Seattle, WA",Venue: Lumen Field Attendance: 68773,
0,"<title>September 25 ,2022 - Green Bay Packers at Tampa Bay Buccaneers Game Statistics</title>",14,12,"Date: September 25 ,2022 Location: Tampa, FL","Date: September 25 ,2022 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 69197,
0,"<title>September 25 ,2022 - San Francisco 49ers at Denver Broncos Game Statistics</title>",10,11,"Date: September 25 ,2022 Location: Denver, CO","Date: September 25 ,2022 Location: Denver, CO",Venue: Empower Field Attendance: 77021,
0,"<title>September 26 ,2022 - Dallas Cowboys at New York Giants Game Statistics</title>",23,16,"Date: September 26 ,2022 Location: East Rutherford, NJ","Date: September 26 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 79445,
0,"<title>September 29 ,2022 - Miami Dolphins at Cincinnati Bengals Game Statistics</title>",15,27,"Date: September 29 ,2022 Location: Cincinnati, OH","Date: September 29 ,2022 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 67260,
0,"<title>October 2 ,2022 - Minnesota Vikings at New Orleans Saints Game Statistics</title>",28,25,"Date: October 2 ,2022 Location: London, England","Date: October 2 ,2022 Location: London, England",Venue: Tottenham Hotspur Stadium Attendance: 60639,
0,"<title>October 2 ,2022 - Cleveland Browns at Atlanta Falcons Game Statistics</title>",20,23,"Date: October 2 ,2022 Location: Atlanta, GA","Date: October 2 ,2022 Location: Atlanta, GA",Venue: Mercedes-Benz Stadium Attendance: 69435,
0,"<title>October 2 ,2022 - Buffalo Bills at Baltimore Ravens Game Statistics</title>",23,20,"Date: October 2 ,2022 Location: Baltimore, MD","Date: October 2 ,2022 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 70494,
0,"<title>October 2 ,2022 - Washington Commanders at Dallas Cowboys Game Statistics</title>",10,25,"Date: October 2 ,2022 Location: Arlington, TX","Date: October 2 ,2022 Location: Arlington, TX",Venue: AT&T Stadium Attendance: 92946,
0,"<title>October 2 ,2022 - Seattle Seahawks at Detroit Lions Game Statistics</title>",48,45,"Date: October 2 ,2022 Location: Detroit, MI","Date: October 2 ,2022 Location: Detroit, MI",Venue: Ford Field Attendance: 63920,
0,"<title>October 2 ,2022 - Los Angeles Chargers at Houston Texans Game Statistics</title>",34,24,"Date: October 2 ,2022 Location: Houston, TX","Date: October 2 ,2022 Location: Houston, TX",Venue: NRG Stadium Attendance: 69071,
0,"<title>October 2 ,2022 - Tennessee Titans at Indianapolis Colts Game Statistics</title>",24,17,"Date: October 2 ,2022 Location: Indianapolis, IN","Date: October 2 ,2022 Location: Indianapolis, IN",Venue: Lucas Oil Stadium Attendance: 65781,
0,"<title>October 2 ,2022 - Chicago Bears at New York Giants Game Statistics</title>",12,20,"Date: October 2 ,2022 Location: East Rutherford, NJ","Date: October 2 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 74044,
0,"<title>October 2 ,2022 - Jacksonville Jaguars at Philadelphia Eagles Game Statistics</title>",21,29,"Date: October 2 ,2022 Location: Philadelphia, PA","Date: October 2 ,2022 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69879,
0,"<title>October 2 ,2022 - New York Jets at Pittsburgh Steelers Game Statistics</title>",24,20,"Date: October 2 ,2022 Location: Pittsburgh, PA","Date: October 2 ,2022 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 66578,
0,"<title>October 2 ,2022 - Arizona Cardinals at Carolina Panthers Game Statistics</title>",26,16,"Date: October 2 ,2022 Location: Charlotte, NC","Date: October 2 ,2022 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 69810,
0,"<title>October 2 ,2022 - New England Patriots at Green Bay Packers Game Statistics</title>",24,27,"Date: October 2 ,2022 Location: Green Bay, WI","Date: October 2 ,2022 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 78317,
0,"<title>October 2 ,2022 - Denver Broncos at Las Vegas Raiders Game Statistics</title>",23,32,"Date: October 2 ,2022 Location: Paradise, NV","Date: October 2 ,2022 Location: Paradise, NV",Venue: Allegiant Stadium Attendance: 62332,
0,"<title>October 2 ,2022 - Kansas City Chiefs at Tampa Bay Buccaneers Game Statistics</title>",41,31,"Date: October 2 ,2022 Location: Tampa, FL","Date: October 2 ,2022 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 68348,
0,"<title>October 3 ,2022 - Los Angeles Rams at San Francisco 49ers Game Statistics</title>",9,24,"Date: October 3 ,2022 Location: Santa Clara, CA","Date: October 3 ,2022 Location: Santa Clara, CA",Venue: Levi's Stadium Attendance: 71597,
0,"<title>October 6 ,2022 - Indianapolis Colts at Denver Broncos Game Statistics</title>",12,9,"Date: October 6 ,2022 Location: Denver, CO","Date: October 6 ,2022 Location: Denver, CO",Venue: Empower Field Attendance: 76667,
0,"<title>October 9 ,2022 - New York Giants at Green Bay Packers Game Statistics</title>",27,22,"Date: October 9 ,2022 Location: London, England","Date: October 9 ,2022 Location: London, England",Venue: Tottenham Hotspur Stadium Attendance: 61024,
0,"<title>October 9 ,2022 - Pittsburgh Steelers at Buffalo Bills Game Statistics</title>",3,38,"Date: October 9 ,2022 Location: Orchard Park, NY","Date: October 9 ,2022 Location: Orchard Park, NY",Venue: Highmark Stadium Attendance: 70764,
0,"<title>October 9 ,2022 - Los Angeles Chargers at Cleveland Browns Game Statistics</title>",30,28,"Date: October 9 ,2022 Location: Cleveland, OH","Date: October 9 ,2022 Location: Cleveland, OH",Venue: FirstEnergy Stadium Attendance: 67431,
0,"<title>October 9 ,2022 - Houston Texans at Jacksonville Jaguars Game Statistics</title>",13,6,"Date: October 9 ,2022 Location: Jacksonville, FL","Date: October 9 ,2022 Location: Jacksonville, FL",Venue: TIAA Bank Field Attendance: 60018,
0,"<title>October 9 ,2022 - Chicago Bears at Minnesota Vikings Game Statistics</title>",22,29,"Date: October 9 ,2022 Location: Minneapolis, MN","Date: October 9 ,2022 Location: Minneapolis, MN",Venue: US Bank Stadium Attendance: 66929,
0,"<title>October 9 ,2022 - Detroit Lions at New England Patriots Game Statistics</title>",0,29,"Date: October 9 ,2022 Location: Foxborough, MA","Date: October 9 ,2022 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 65878,
0,"<title>October 9 ,2022 - Seattle Seahawks at New Orleans Saints Game Statistics</title>",32,39,"Date: October 9 ,2022 Location: New Orleans, LA","Date: October 9 ,2022 Location: New Orleans, LA",Venue: Caesars Superdome Attendance: 70003,
0,"<title>October 9 ,2022 - Miami Dolphins at New York Jets Game Statistics</title>",17,40,"Date: October 9 ,2022 Location: East Rutherford, NJ","Date: October 9 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 82500,
0,"<title>October 9 ,2022 - Atlanta Falcons at Tampa Bay Buccaneers Game Statistics</title>",15,21,"Date: October 9 ,2022 Location: Tampa, FL","Date: October 9 ,2022 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 68299,
0,"<title>October 9 ,2022 - Tennessee Titans at Washington Commanders Game Statistics</title>",21,17,"Date: October 9 ,2022 Location: Landover, MD","Date: October 9 ,2022 Location: Landover, MD",Venue: FedExField Attendance: 51836,
0,"<title>October 9 ,2022 - San Francisco 49ers at Carolina Panthers Game Statistics</title>",37,15,"Date: October 9 ,2022 Location: Charlotte, NC","Date: October 9 ,2022 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 72321,
0,"<title>October 9 ,2022 - Philadelphia Eagles at Arizona Cardinals Game Statistics</title>",20,17,"Date: October 9 ,2022 Location: Glendale, AZ","Date: October 9 ,2022 Location: Glendale, AZ",Venue: State Farm Stadium Attendance: 63919,
0,"<title>October 9 ,2022 - Dallas Cowboys at Los Angeles Rams Game Statistics</title>",22,10,"Date: October 9 ,2022 Location: Inglewood, CA","Date: October 9 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 74154,
0,"<title>October 9 ,2022 - Cincinnati Bengals at Baltimore Ravens Game Statistics</title>",17,19,"Date: October 9 ,2022 Location: Baltimore, MD","Date: October 9 ,2022 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 70548,
0,"<title>October 10 ,2022 - Las Vegas Raiders at Kansas City Chiefs Game Statistics</title>",29,30,"Date: October 10 ,2022 Location: Kansas City, MO","Date: October 10 ,2022 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 73523,
0,"<title>October 13 ,2022 - Washington Commanders at Chicago Bears Game Statistics</title>",12,7,"Date: October 13 ,2022 Location: Chicago, IL","Date: October 13 ,2022 Location: Chicago, IL",Venue: Soldier Field Attendance: 61873,
0,"<title>October 16 ,2022 - San Francisco 49ers at Atlanta Falcons Game Statistics</title>",14,28,"Date: October 16 ,2022 Location: Atlanta, GA","Date: October 16 ,2022 Location: Atlanta, GA",Venue: Mercedes-Benz Stadium Attendance: 69813,
0,"<title>October 16 ,2022 - New England Patriots at Cleveland Browns Game Statistics</title>",38,15,"Date: October 16 ,2022 Location: Cleveland, OH","Date: October 16 ,2022 Location: Cleveland, OH",Venue: FirstEnergy Stadium Attendance: 67431,
0,"<title>October 16 ,2022 - New York Jets at Green Bay Packers Game Statistics</title>",27,10,"Date: October 16 ,2022 Location: Green Bay, WI","Date: October 16 ,2022 Location: Green Bay, WI",Venue: Lambeau Field Attendance: 78343,
0,"<title>October 16 ,2022 - Jacksonville Jaguars at Indianapolis Colts Game Statistics</title>",27,34,"Date: October 16 ,2022 Location: Indianapolis, IN","Date: October 16 ,2022 Location: Indianapolis, IN",Venue: Lucas Oil Stadium Attendance: 65749,
0,"<title>October 16 ,2022 - Minnesota Vikings at Miami Dolphins Game Statistics</title>",24,16,"Date: October 16 ,2022 Location: Miami Gardens, FL","Date: October 16 ,2022 Location: Miami Gardens, FL",Venue: Hard Rock Stadium Attendance: 66100,
0,"<title>October 16 ,2022 - Cincinnati Bengals at New Orleans Saints Game Statistics</title>",30,26,"Date: October 16 ,2022 Location: New Orleans, LA","Date: October 16 ,2022 Location: New Orleans, LA",Venue: Caesars Superdome Attendance: 70004,
0,"<title>October 16 ,2022 - Baltimore Ravens at New York Giants Game Statistics</title>",20,24,"Date: October 16 ,2022 Location: East Rutherford, NJ","Date: October 16 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 78019,
0,"<title>October 16 ,2022 - Tampa Bay Buccaneers at Pittsburgh Steelers Game Statistics</title>",18,20,"Date: October 16 ,2022 Location: Pittsburgh, PA","Date: October 16 ,2022 Location: Pittsburgh, PA",Venue: Heinz Field Attendance: 67307,
0,"<title>October 16 ,2022 - Carolina Panthers at Los Angeles Rams Game Statistics</title>",10,24,"Date: October 16 ,2022 Location: Inglewood, CA","Date: October 16 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 71482,
0,"<title>October 16 ,2022 - Arizona Cardinals at Seattle Seahawks Game Statistics</title>",9,19,"Date: October 16 ,2022 Location: Seattle, WA","Date: October 16 ,2022 Location: Seattle, WA",Venue: Lumen Field Attendance: 68867,
0,"<title>October 16 ,2022 - Buffalo Bills at Kansas City Chiefs Game Statistics</title>",24,20,"Date: October 16 ,2022 Location: Kansas City, MO","Date: October 16 ,2022 Location: Kansas City, MO",Venue: Arrowhead Stadium Attendance: 73586,
0,"<title>October 16 ,2022 - Dallas Cowboys at Philadelphia Eagles Game Statistics</title>",17,26,"Date: October 16 ,2022 Location: Philadelphia, PA","Date: October 16 ,2022 Location: Philadelphia, PA",Venue: Lincoln Financial Field Attendance: 69879,
0,"<title>October 17 ,2022 - Denver Broncos at Los Angeles Chargers Game Statistics</title>",16,19,"Date: October 17 ,2022 Location: Inglewood, CA","Date: October 17 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 70240,
0,"<title>October 20 ,2022 - New Orleans Saints at Arizona Cardinals Game Statistics</title>",34,42,"Date: October 20 ,2022 Location: Glendale, AZ","Date: October 20 ,2022 Location: Glendale, AZ",Venue: State Farm Stadium Attendance: 63290,
0,"<title>October 23 ,2022 - Cleveland Browns at Baltimore Ravens Game Statistics</title>",20,23,"Date: October 23 ,2022 Location: Baltimore, MD","Date: October 23 ,2022 Location: Baltimore, MD",Venue: M&T Bank Stadium Attendance: 70461,
0,"<title>October 23 ,2022 - Tampa Bay Buccaneers at Carolina Panthers Game Statistics</title>",3,21,"Date: October 23 ,2022 Location: Charlotte, NC","Date: October 23 ,2022 Location: Charlotte, NC",Venue: Bank of America Stadium Attendance: 71941,
0,"<title>October 23 ,2022 - Atlanta Falcons at Cincinnati Bengals Game Statistics</title>",17,35,"Date: October 23 ,2022 Location: Cincinnati, OH","Date: October 23 ,2022 Location: Cincinnati, OH",Venue: Paul Brown Stadium Attendance: 66158,
0,"<title>October 23 ,2022 - Detroit Lions at Dallas Cowboys Game Statistics</title>",6,24,"Date: October 23 ,2022 Location: Arlington, TX","Date: October 23 ,2022 Location: Arlington, TX",Venue: AT&T Stadium Attendance: 93487,
0,"<title>October 23 ,2022 - New York Giants at Jacksonville Jaguars Game Statistics</title>",23,17,"Date: October 23 ,2022 Location: Jacksonville, FL","Date: October 23 ,2022 Location: Jacksonville, FL",Venue: TIAA Bank Field Attendance: 65664,
0,"<title>October 23 ,2022 - Indianapolis Colts at Tennessee Titans Game Statistics</title>",10,19,"Date: October 23 ,2022 Location: Nashville, TN","Date: October 23 ,2022 Location: Nashville, TN",Venue: Nissan Stadium Attendance: 69459,
0,"<title>October 23 ,2022 - Green Bay Packers at Washington Commanders Game Statistics</title>",21,23,"Date: October 23 ,2022 Location: Landover, MD","Date: October 23 ,2022 Location: Landover, MD",Venue: FedExField Attendance: 60427,
0,"<title>October 23 ,2022 - New York Jets at Denver Broncos Game Statistics</title>",16,9,"Date: October 23 ,2022 Location: Denver, CO","Date: October 23 ,2022 Location: Denver, CO",Venue: Empower Field Attendance: 76624,
0,"<title>October 23 ,2022 - Houston Texans at Las Vegas Raiders Game Statistics</title>",20,38,"Date: October 23 ,2022 Location: Paradise, NV","Date: October 23 ,2022 Location: Paradise, NV",Venue: Allegiant Stadium Attendance: 61228,
0,"<title>October 23 ,2022 - Seattle Seahawks at Los Angeles Chargers Game Statistics</title>",37,23,"Date: October 23 ,2022 Location: Inglewood, CA","Date: October 23 ,2022 Location: Inglewood, CA",Venue: SoFi Stadium Attendance: 70240,
0,"<title>October 23 ,2022 - Kansas City Chiefs at San Francisco 49ers Game Statistics</title>",44,23,"Date: October 23 ,2022 Location: Santa Clara, CA","Date: October 23 ,2022 Location: Santa Clara, CA",Venue: Levi's Stadium Attendance: 71746,
0,"<title>October 23 ,2022 - Pittsburgh Steelers at Miami Dolphins Game Statistics</title>",10,16,"Date: October 23 ,2022 Location: Miami Gardens, FL","Date: October 23 ,2022 Location: Miami Gardens, FL",Venue: Hard Rock Stadium Attendance: 66224,
0,"<title>October 24 ,2022 - Chicago Bears at New England Patriots Game Statistics</title>",33,14,"Date: October 24 ,2022 Location: Foxborough, MA","Date: October 24 ,2022 Location: Foxborough, MA",Venue: Gillette Stadium Attendance: 65878,
0,"<title>October 27 ,2022 - Baltimore Ravens at Tampa Bay Buccaneers Game Statistics</title>",27,22,"Date: October 27 ,2022 Location: Tampa, FL","Date: October 27 ,2022 Location: Tampa, FL",Venue: Raymond James Stadium Attendance: 68912,
0,"<title>October 30 ,2022 - Denver Broncos at Jacksonville Jaguars Game Statistics</title>",21,17,"Date: October 30 ,2022 Location: London, England","Date: October 30 ,2022 Location: London, England",Venue: Wembley Stadium Attendance: 86215,
0,"<title>October 30 ,2022 - Carolina Panthers at Atlanta Falcons Game Statistics</title>",34,37,"Date: October 30 ,2022 Location: Atlanta, GA","Date: October 30 ,2022 Location: Atlanta, GA",Venue: Mercedes-Benz Stadium Attendance: 68996,
0,"<title>October 30 ,2022 - Chicago Bears at Dallas Cowboys Game Statistics</title>",29,49,"Date: October 30 ,2022 Location: Arlington, TX","Date: October 30 ,2022 Location: Arlington, TX",Venue: AT&T Stadium Attendance: 93767,
0,"<title>October 30 ,2022 - Miami Dolphins at Detroit Lions Game Statistics</title>",31,27,"Date: October 30 ,2022 Location: Detroit, MI","Date: October 30 ,2022 Location: Detroit, MI",Venue: Ford Field Attendance: 61447,
0,"<title>October 30 ,2022 - Arizona Cardinals at Minnesota Vikings Game Statistics</title>",26,34,"Date: October 30 ,2022 Location: Minneapolis, MN","Date: October 30 ,2022 Location: Minneapolis, MN",Venue: US Bank Stadium Attendance: 66742,
0,"<title>October 30 ,2022 - Las Vegas Raiders at New Orleans Saints Game Statistics</title>",0,24,"Date: October 30 ,2022 Location: New Orleans, LA","Date: October 30 ,2022 Location: New Orleans, LA",Venue: Caesars Superdome Attendance: 70009,
0,"<title>October 30 ,2022 - New England Patriots at New York Jets Game Statistics</title>",22,17,"Date: October 30 ,2022 Location: East Rutherford, NJ","Date: October 30 ,2022 Location: East Rutherford, NJ",Venue: MetLife Stadium Attendance: 82823,
